mode         freq_ANI_1ccx_gelu       exp        mp2    physnet_MP2_NN1    physnet_MP2_NN2
---------  --------------------  --------  ---------  -----------------  -----------------
1                        86.759     0      -2425.72           -2337.85           -2548.69
2                     -1961.15    269       -213.48            -206.36            -204.12
3                       439.265   427       5451.29             453.25             457.1
4                       624.978   507        477.92             479.72             473.4
5                       475.695   548        574.2              574.42             576.91
6                       679.928   625        700.92             701.19             706.62
7                       847.057   858        840.39             839.3              840.76
8                       977.927   965        979.28             981.95             984
9                      1027.64   1040       1033.17            1037.24            1038.03
10                     1092.39   1134       1054.59            1056.99            1054.48
11                     1324.71   1319       1340.62            1342.26            1344.85
12                     1372.05   1385       1371.24            1370.49            1370.8
13                     1437.07   1432       1443.5             1444.48            1443.41
14                     1472.07   1433       1463.58            1464.3             1459.85
15                     1566.25   1600       1552.95            1556.28            1556.57
16                     1726.4    1733       1725.92            1718.97            1726.61
17                     2968.73   2860       2994.98            2996.35            2990.34
18                     3108.67   2900       3008.41            3005.78            2993.6
19                     3034.73   2967       3070.81            3068.72            3072.59
20                     3503.6    3450       3501.75            3496.12            3504.9
21                     3666.99   3550       3657.46            3646.5             3665.08
MAE(exp)                157.672     0        419.991            176.692            187.686
RMSE(exp)               492.081     0       1223.45             523.795            568.749
MAE(mp2)                467.118   419.991      0                244.886            247.348
RMSE(mp2)              1282.36   1223.45       0               1090.84            1090.16
